DATE,DAAA
1/1/2004,5.536
2/1/2004,5.500526316
3/1/2004,5.325652174
4/1/2004,5.730952381
5/1/2004,6.0375
6/1/2004,6.014761905
7/1/2004,5.822857143
8/1/2004,5.648181818
9/1/2004,5.459047619
10/1/2004,5.468
11/1/2004,5.5155
12/1/2004,5.469545455
1/1/2005,5.3575
2/1/2005,5.199473684
3/1/2005,5.401818182
4/1/2005,5.327142857
5/1/2005,5.152380952
6/1/2005,4.96
7/1/2005,5.057
8/1/2005,5.094782609
9/1/2005,5.126190476
10/1/2005,5.345
11/1/2005,5.415
12/1/2005,5.36952381
1/1/2006,5.2945
2/1/2006,5.347894737
3/1/2006,5.525217391
4/1/2006,5.842105263
5/1/2006,5.951363636
6/1/2006,5.891363636
7/1/2006,5.85
8/1/2006,5.683043478
9/1/2006,5.509
10/1/2006,5.51
11/1/2006,5.330952381
12/1/2006,5.3225
1/1/2007,5.401904762
2/1/2007,5.386842105
3/1/2007,5.303636364
4/1/2007,5.467142857
5/1/2007,5.474545455
6/1/2007,5.794761905
7/1/2007,5.732857143
8/1/2007,5.787391304
9/1/2007,5.737368421
10/1/2007,5.660909091
11/1/2007,5.4355
12/1/2007,5.492
1/1/2008,5.331428571
2/1/2008,5.527
3/1/2008,5.506
4/1/2008,5.552727273
5/1/2008,5.573333333
6/1/2008,5.676190476
7/1/2008,5.665454545
8/1/2008,5.636190476
9/1/2008,5.652857143
10/1/2008,6.281363636
11/1/2008,6.124444444
12/1/2008,5.045454545
1/1/2009,5.0485
2/1/2009,5.266315789
3/1/2009,5.495454545
4/1/2009,5.389047619
5/1/2009,5.54
6/1/2009,5.605909091
7/1/2009,5.411818182
8/1/2009,5.258095238
9/1/2009,5.126666667
10/1/2009,5.145238095
11/1/2009,5.185789474
12/1/2009,5.261818182
1/1/2010,5.264210526
2/1/2010,5.347894737
3/1/2010,5.27
4/1/2010,5.285909091
5/1/2010,4.9635
6/1/2010,4.882727273
7/1/2010,4.723809524
8/1/2010,4.490454545
9/1/2010,4.526666667
10/1/2010,4.678
11/1/2010,4.874761905
12/1/2010,5.015
1/1/2011,5.0405
2/1/2011,5.223684211
3/1/2011,5.129565217
4/1/2011,5.1575
5/1/2011,4.963809524
6/1/2011,4.989090909
7/1/2011,4.931
8/1/2011,4.365652174
9/1/2011,4.086190476
10/1/2011,3.979
11/1/2011,3.8725
12/1/2011,3.927142857
1/1/2012,3.85
2/1/2012,3.8465
3/1/2012,3.987272727
4/1/2012,3.961428571
5/1/2012,3.801363636
6/1/2012,3.64
7/1/2012,3.395238095
8/1/2012,3.475217391
9/1/2012,3.485263158
10/1/2012,3.465238095
11/1/2012,3.499
12/1/2012,3.6505
1/1/2013,3.797619048
2/1/2013,3.896842105
3/1/2013,3.9325
4/1/2013,3.733181818
5/1/2013,3.893181818
6/1/2013,4.2695
7/1/2013,4.344090909
8/1/2013,4.542272727
9/1/2013,4.64
10/1/2013,4.527727273
11/1/2013,4.63
12/1/2013,4.622380952
1/1/2014,4.487619048
2/1/2014,4.449473684
3/1/2014,4.382857143
4/1/2014,4.24047619
5/1/2014,4.161904762
6/1/2014,4.24952381
7/1/2014,4.161818182
8/1/2014,4.075714286
9/1/2014,4.111904762
10/1/2014,3.915
11/1/2014,3.921666667
12/1/2014,3.788636364
1/1/2015,3.4635
2/1/2015,3.606315789
3/1/2015,3.639545455
4/1/2015,3.522727273
5/1/2015,3.981
6/1/2015,4.190909091
7/1/2015,4.150909091
8/1/2015,4.035714286
9/1/2015,4.068571429
10/1/2015,3.951904762
11/1/2015,4.055789474
12/1/2015,3.970454545
1/1/2016,4.001578947
2/1/2016,3.956
3/1/2016,3.820454545
4/1/2016,3.616190476
5/1/2016,3.65
6/1/2016,3.497272727
7/1/2016,3.2845
8/1/2016,3.315652174
9/1/2016,3.413333333
10/1/2016,3.511
11/1/2016,3.8625
12/1/2016,4.055238095
1/1/2017,3.9215
2/1/2017,3.951578947
3/1/2017,4.006521739
4/1/2017,3.867894737
5/1/2017,3.851363636
6/1/2017,3.678636364
7/1/2017,3.698
8/1/2017,3.634347826
9/1/2017,3.6295
10/1/2017,3.597727273
11/1/2017,3.574
12/1/2017,3.5075
1/1/2018,3.547619048
2/1/2018,3.824210526
3/1/2018,3.865714286
4/1/2018,3.846190476
5/1/2018,3.995
6/1/2018,3.955238095
7/1/2018,3.874285714
8/1/2018,3.884782609
9/1/2018,3.976842105
10/1/2018,4.144347826
11/1/2018,4.2165
12/1/2018,4.015263158
1/1/2019,3.929047619
2/1/2019,3.79
3/1/2019,3.773809524
4/1/2019,3.694761905
5/1/2019,3.674090909
6/1/2019,3.421
7/1/2019,3.293181818
8/1/2019,2.977272727
9/1/2019,3.032
10/1/2019,3.008181818
11/1/2019,3.057368421
12/1/2019,3.007142857
1/1/2020,2.940952381
2/1/2020,2.778947368
3/1/2020,3.018181818
4/1/2020,2.428571429
5/1/2020,2.5025
6/1/2020,2.436818182
7/1/2020,2.144545455
8/1/2020,2.246190476
9/1/2020,2.313333333
10/1/2020,2.354285714
11/1/2020,2.302105263
12/1/2020,2.260909091
1/1/2021,2.451052632
2/1/2021,2.7
3/1/2021,3.035217391
4/1/2021,2.898571429
5/1/2021,2.956
6/1/2021,2.786818182
7/1/2021,2.569047619
8/1/2021,2.548181818
9/1/2021,2.529047619
10/1/2021,2.683
11/1/2021,2.621428571
12/1/2021,2.644285714
1/1/2022,2.934
2/1/2022,3.250526316
3/1/2022,3.432608696
4/1/2022,3.764
5/1/2022,4.134761905
6/1/2022,4.235714286
7/1/2022,4.058
8/1/2022,4.069565217
9/1/2022,4.587619048
10/1/2022,5.098095238
11/1/2022,4.897
12/1/2022,4.428571429
1/1/2023,4.3995
2/1/2023,4.564210526
3/1/2023,4.596086957
4/1/2023,4.465263158
5/1/2023,4.667272727
6/1/2023,4.65047619
7/1/2023,4.664
8/1/2023,4.952608696
9/1/2023,5.1265
10/1/2023,5.614285714
11/1/2023,5.281904762
12/1/2023,4.739
